,angebot_id,startdate,enddate,laufzeitw_geschl,laufzeitw_alle,oadr_strasse,oadr_koord_lon_epsg4326,oadr_koord_lat_epsg4326,oadr_koord_genauigkeit,oadr_ortsteil,oadr_ortsteil_qual,oadr_plz,oadr_gkz,oadr_ort,oadr_kkz,oadr_kreis,oadr_bl,nachfrageart,nutzungsart,objektart,objekttyp,objekttyp_grob,objekttyp_fein,kosten,kosten_je_flaeche,kstn_nebenkosten,kstn_heizung,kstn_miete_gesamt,flaeche,fl_wohnen,baujahr,etage,anz_zimmer,aus_balkon_terrasse_janein,aus_garten_janein,aus_garten_eigen_janein,aus_lift_janein,aus_heiz_system,aus_kueche_einbau_janein,anz_parken,aus_klassen,oeig_denkmal_janein,zust_klassen,aadr_gewerblich_janein,oadr_koord_distanz,oadr_koord_distanz_sort,kstn_nk_inkl_heizung,aus_bad_mit_fenster_janein,oeig_keller_janein,oeig_neubau_janein,zust_erstbezug_janein,etagen,aus_heiz_befeuerung,zust_renoviert_janein,fl_nutz,zust_neuwertig_janein,kstn_parken_platz_miete,zust_modernisierungsjahr,zust_saniert_janein,anzart_nachmieter_janein,aus_barrierefrei_janein,oeig_wbs_janein,zust_sanierungsbedarf_janein,kueche,lift,nk_inkl_heizung_qm
0,3552470063,2023-02-15,2023-02-25,1.4,1.4,Karlsbader Platz 8,8.22314,50.07394,1,Camp Lindsey,30.0,65197,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,2,1006.13,14.02,237.0,93.29,1411.42,71.76,71.76,2018,1.0,2.5,True,True,False,True,0.0,True,1.0,1,False,1,True,1526,1526,,,,,,,,,,,,,,,,,,1,1,4.6
1,3552453529,2023-02-15,2023-03-05,2.6,2.6,,8.25919,50.0704,850,Südost,30.0,65189,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,3,1800.0,14.88,490.0,,2290.0,121.0,121.0,2022,3.0,3.0,True,,,True,0.0,True,2.0,1,False,2,True,1693,2118,True,True,True,True,True,,,,,,,,,,,,,1,1,4.05
2,3551560357,2023-02-09,2023-02-15,0.8,0.8,Schwalbacher Str. 57,8.23635,50.0826,1,Zentrum (City),30.0,65183,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,1,600.0,13.33,70.0,,670.0,45.0,45.0,2019,0.0,1.5,True,,,,2.0,,,1,False,1,True,441,441,False,,True,,,3.0,0.0,True,,,,,,,,,,0,0,1.56
3,3551461109,2023-02-08,2023-02-09,0.1,0.1,Albrechtstr. 20,8.23931,50.07431,1,Adolfsallee,30.0,65185,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,2,450.0,7.5,,,,60.0,60.0,2007,,2.0,,,,,,True,,1,False,1,,728,728,,,,,,,,,,,,,,,,,,1,0,0.0
4,3551482247,2023-02-08,2023-03-07,3.8,3.8,,8.25919,50.0704,850,Südost,30.0,65189,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,4,2200.0,20.18,250.0,,2450.0,109.0,109.0,2023,0.0,4.0,True,,,True,0.0,,1.0,1,False,2,True,1693,2118,,,True,True,True,,,,6.0,,,,,,,,,0,1,2.29
5,3551353383,2023-02-07,2023-03-08,4.1,4.1,,8.25919,50.0704,850,Südost,30.0,65189,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,3,1800.0,19.25,250.0,,2050.0,93.5,93.5,2023,1.0,3.0,True,,,True,0.0,,1.0,2,False,2,True,1693,2118,,,True,True,True,,,,6.0,,,,,,,,,0,1,2.67
6,3551353353,2023-02-07,2023-03-07,4.0,4.0,,8.25919,50.0704,850,Südost,30.0,65189,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,2,1400.0,20.0,250.0,,1650.0,70.0,70.0,2023,1.0,2.0,True,,,True,0.0,,1.0,2,False,2,True,1693,2118,,,True,True,True,,,,6.0,,,,,,,,,0,1,3.57
7,3551224487,2023-02-06,2023-03-23,6.4,6.4,Karlsbader Platz 10,8.2229,50.07385,1,Camp Lindsey,30.0,65197,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,4,1302.26,12.48,321.0,135.66,1833.92,104.35,104.35,2018,2.0,4.0,True,True,,True,0.0,True,1.0,1,False,1,True,1546,1546,,True,,,,,,,,,,,,,,,,1,1,4.38
8,3551224411,2023-02-06,2023-03-13,5.0,5.0,Karlsbader Platz 14,8.22331,50.07336,1,Camp Lindsey,30.0,65197,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,3,1135.71,12.08,285.0,122.19,1617.9,93.99,93.99,2018,3.0,3.0,True,True,,True,0.0,True,1.0,1,False,1,True,1548,1548,,,,,,,,,,,,,,,,,,1,1,4.33
9,3551224381,2023-02-06,2023-03-16,5.4,5.4,Karlsbader Platz 8,8.22314,50.07394,1,Camp Lindsey,30.0,65197,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,3,1062.97,13.08,259.0,105.61,1502.58,81.24,81.24,2018,2.0,3.0,True,True,,True,0.0,True,1.0,1,False,1,True,1526,1526,,,,,,,,,,,,,,,,,,1,1,4.49
10,3551202632,2023-02-06,,,7.6,,8.23829,50.07611,400,,,65185,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,2,980.0,14.58,,75.0,,67.21,67.21,2011,5.0,2.0,True,,,True,0.0,True,1.0,2,False,2,True,563,763,,,True,,,6.0,0.0,,,True,,,,,,,,1,1,1.12
11,3551275760,2023-02-06,2023-03-25,6.7,6.7,,8.25919,50.0704,850,Südost,30.0,65189,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,4,1700.0,13.72,250.0,150.0,2190.0,123.87,123.87,2012,2.0,4.0,True,,,True,,True,1.0,2,False,1,True,1693,2118,True,True,True,,,3.0,0.0,,,,90.0,,,,,,,1,1,3.23
12,3551165318,2023-02-06,2023-03-21,6.1,6.1,,8.23829,50.07611,400,,,65185,6414000,Wiesbaden,6414,Wiesbaden,6,1,0,1,0,1,4,1180.0,9.44,170.0,300.0,1650.0,125.0,125.0,2018,0.5,4.0,True,,,,0.0,True,,2,False,1,,563,763,False,True,True,,,,0.0,,,,,,,,,,,1,0,3.76
